'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'ann',1,0,0.127304,0.52131,0,2,1.001766824,0.002956795,0.000463005,0.128782398,0.52131,37.46690128,0.125825602,0.52131,37.53309872,0.037547619,0.338857143,0.009333333,0.035,0.342,0.00947619,0.053355806,0.056551545,0.010985115,0.053331601,0.056986984,0.011140617,0.000526599,0.131400361,0.516198443,42.31528968,0.128406122,0.516145551,42.38083066,0.044261905,0.381309524,0.01297619,0.041285714,0.384880952,0.013142857,0.060649641,0.064122111,0.014780691,0.060607859,0.064614895,0.01496159
'ann',1,1,0.127304,0.52131,0,2,1.003327836,0.005564825,0.000855194,0.130086413,0.52131,37.43770672,0.124521587,0.52131,37.56229328,0.038666667,0.33747619,0.009285714,0.033857143,0.343380952,0.00952381,0.053367877,0.056362759,0.010931601,0.053315216,0.057174959,0.011194119,0.000991491,0.132723437,0.516215178,42.28541858,0.127068599,0.516128457,42.40826458,0.045571429,0.379738095,0.012904762,0.03997619,0.38647619,0.013214286,0.060668214,0.063905607,0.014702958,0.060592492,0.064835172,0.015039453
'ann',1,0,0.127304,0.52131,0,4,1.001384089,0.002316726,0.000353486,0.128462363,0.52131,37.47406629,0.126145637,0.52131,37.52593371,0.037261905,0.339190476,0.009357143,0.035261905,0.341642857,0.009452381,0.053351286,0.05659866,0.011010065,0.053328601,0.056935285,0.011115526,0.000419813,0.13109005,0.516176712,42.32350236,0.128726964,0.51610236,42.37348695,0.043952381,0.381690476,0.013,0.041595238,0.3845,0.013142857,0.06064722,0.064175962,0.014805888,0.06061264,0.064565061,0.014959672
'ann',1,1,0.127304,0.52131,0,4,1.002606509,0.004360186,0.00067092,0.129484093,0.52131,37.45119157,0.125123907,0.52131,37.54880843,0.038142857,0.338119048,0.009309524,0.034380952,0.342738095,0.0095,0.0533619,0.056450821,0.010958117,0.053321193,0.057086897,0.011167603,0.000778574,0.132128903,0.516166182,42.29953864,0.127692189,0.516112748,42.39733534,0.04497619,0.380452381,0.012952381,0.040571429,0.385761905,0.013190476,0.060661273,0.064006574,0.014753104,0.060601793,0.064738222,0.015012585
'ann',1,0,0.127304,0.52131,0,8,1.003023765,0.005057123,0.000786294,0.129832562,0.52131,37.44338999,0.124775438,0.52131,37.55661001,0.038452381,0.337738095,0.009285714,0.034095238,0.343095238,0.00952381,0.053364321,0.05639697,0.01093292,0.05331988,0.057137785,0.011192682,0.000901975,0.132484742,0.51618543,42.29352714,0.127338263,0.51609349,42.40329416,0.045333333,0.380047619,0.012928571,0.040214286,0.386166667,0.013214286,0.060669115,0.06395057,0.014727801,0.06059395,0.064794226,0.015037888
'ann',1,1,0.127304,0.52131,0,8,1.004046455,0.00676408,0.001036564,0.13068604,0.52131,37.42428216,0.12392196,0.52131,37.57571784,0.039190476,0.336857143,0.009261905,0.033357143,0.34402381,0.009547619,0.053377061,0.056278471,0.010905216,0.053313552,0.057263831,0.011220646,0.001206912,0.133350527,0.516199288,42.27437928,0.126454571,0.516082156,42.42230968,0.046190476,0.37902381,0.012880952,0.039357143,0.387214286,0.013261905,0.060681827,0.063809467,0.014676101,0.060584444,0.064939102,0.015089718
'ann',1,0,0.127304,0.52131,0,10,1.002611505,0.004368533,0.000670423,0.129488267,0.52131,37.45109813,0.125119733,0.52131,37.54890187,0.038166667,0.338119048,0.009309524,0.034380952,0.342738095,0.0095,0.053366213,0.056451632,0.010958129,0.053321193,0.057086897,0.011167603,0.000778574,0.132128903,0.516166182,42.29953864,0.127692189,0.516112748,42.39733534,0.04497619,0.380452381,0.012952381,0.040571429,0.385761905,0.013190476,0.060661273,0.064006574,0.014753104,0.060601793,0.064738222,0.015012585
'ann',1,1,0.127304,0.52131,0,10,1.004462141,0.007457398,0.001151773,0.131032699,0.52131,37.41652111,0.123575301,0.52131,37.58347889,0.03947619,0.33647619,0.009238095,0.033047619,0.344380952,0.009571429,0.053375168,0.056223809,0.010880007,0.053307925,0.057313909,0.011245713,0.001331216,0.133685887,0.516218343,42.26610282,0.126122404,0.516063099,42.43050601,0.04652381,0.378619048,0.012857143,0.03902381,0.387619048,0.013285714,0.060685356,0.063752653,0.014650786,0.060580916,0.064995916,0.015115032
'ann',1,0,0.127304,0.52131,0,15,1.006944068,0.011591019,0.00179259,0.13309951,0.52131,37.37024923,0.12150849,0.52131,37.62975077,0.041261905,0.334309524,0.009142857,0.031261905,0.346595238,0.009666667,0.053397503,0.055925168,0.010775994,0.053292002,0.057620096,0.011349985,0.002050745,0.135812906,0.516197381,42.22246656,0.123993517,0.516085841,42.47352304,0.048595238,0.376119048,0.012761905,0.036904762,0.390142857,0.013380952,0.06071457,0.063410914,0.014545101,0.06054628,0.065339807,0.015220824
'ann',1,1,0.127304,0.52131,0,15,1.009766006,0.016278565,0.002505245,0.135443283,0.52131,37.31777719,0.119164717,0.52131,37.68222281,0.043261905,0.331857143,0.009047619,0.029214286,0.349095238,0.009761905,0.053420188,0.055588544,0.010670532,0.053267101,0.057962646,0.011455682,0.002908105,0.138175048,0.516271206,42.16969194,0.121620825,0.516019498,42.5275696,0.050928571,0.373309524,0.012619048,0.03452381,0.393,0.013547619,0.060744837,0.063021005,0.014391306,0.060516159,0.065739659,0.015398132
'ann',1,0,0.127304,0.52131,0,20,1.011905984,0.019824576,0.003067921,0.137216288,0.52131,37.27808386,0.117391712,0.52131,37.72191614,0.044785714,0.33,0.008952381,0.027666667,0.351,0.009857143,0.053436752,0.05533004,0.010568073,0.053252637,0.058227886,0.011558389,0.003546593,0.139991739,0.516290557,42.13092053,0.119817937,0.516001786,42.56531075,0.052714286,0.371190476,0.0125,0.032714286,0.395166667,0.013642857,0.060771224,0.062725894,0.014264273,0.06048951,0.066037489,0.015502134
