'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'kon',1,0,0.127304,0.52131,0,2,0.9998604312,0.0028159955,0.0003458183,0.1287119977,0.52131,37.5026170975,0.1258960023,0.52131,37.4973829025,0.0375238095,0.3392380952,0.0093571429,0.0350238095,0.3415952381,0.009452381,0.0534051482,0.056615121,0.0110104518,0.0532790525,0.0569196343,0.0111151504,0.0004039805,0.1313368334,0.5161847705,42.355099088,0.1284667277,0.5161592195,42.3410555485,0.0442380952,0.3817380952,0.013,0.0413095238,0.384452381,0.0131190476,0.0607053955,0.064193233,0.0148062869,0.0605521046,0.0645437727,0.0149359947
'kon',1,1,0.127304,0.52131,0,2,0.9998673309,0.0026767762,0.0003297729,0.1286423881,0.52131,37.5024877115,0.1259656119,0.52131,37.4975122885,0.037452381,0.3393095238,0.0093571429,0.0350952381,0.341547619,0.009452381,0.0534018254,0.0566240092,0.0110108051,0.0532855813,0.0569145193,0.0111149266,0.0003837942,0.1312647376,0.5161927705,42.3552143218,0.1285388652,0.5161512238,42.3409443559,0.0441666667,0.3818333333,0.013,0.0413809524,0.3843809524,0.0131190476,0.0607052787,0.0642058943,0.0148067695,0.0605554274,0.0645348845,0.0149356415
'kon',1,0,0.127304,0.52131,0,4,0.9997834913,0.0043685333,0.00053333,0.1294882666,0.52131,37.5040599772,0.1251197334,0.52131,37.4959400228,0.0382142857,0.3385952381,0.0093333333,0.0343333333,0.3422380952,0.0094761905,0.053441321,0.0565327318,0.0109840181,0.0532428796,0.0570020236,0.0111415842,0.0006275775,0.1321335689,0.5161676447,42.3598152927,0.1276811478,0.5161112913,42.3371266928,0.045047619,0.381,0.0129761905,0.0405,0.3851904762,0.0131666667,0.0607503124,0.0640998034,0.0147793939,0.0605095474,0.0646412192,0.0149861658
'kon',1,1,0.127304,0.52131,0,4,0.9997941941,0.0041525584,0.000511111,0.1293802792,0.52131,37.503859257,0.1252277208,0.52131,37.496140743,0.0381190476,0.3386904762,0.0093333333,0.0344285714,0.3421666667,0.0094761905,0.0534368906,0.0565445826,0.0109844891,0.053250516,0.0569939458,0.0111412426,0.0005974561,0.1320134361,0.5161809785,42.3600091799,0.1278013868,0.516097969,42.3369432088,0.0449285714,0.3811190476,0.0129761905,0.0406190476,0.3850714286,0.0131666667,0.0607447744,0.0641146169,0.0147799825,0.0605150854,0.0646264056,0.0149855771
'kon',1,0,0.127304,0.52131,0,8,0.9997098683,0.0058542524,0.000726744,0.1302311262,0.52131,37.5054407577,0.1243768738,0.52131,37.4945592423,0.0388809524,0.3379761905,0.0092857143,0.0336666667,0.3428809524,0.0095,0.0534740265,0.0564492884,0.010934424,0.0532110204,0.0570852232,0.0111680295,0.0008402828,0.132871006,0.5162207912,42.3637573433,0.1269317666,0.5161229904,42.332272684,0.0458095238,0.3803095238,0.0129285714,0.0397619048,0.3859047619,0.0131904762,0.0607906544,0.0640082823,0.0147294582,0.0604743654,0.0647333069,0.0150129644
'kon',1,1,0.127304,0.52131,0,8,0.9997104226,0.0058430667,0.000713,0.1302255334,0.52131,37.5054303622,0.1243824666,0.52131,37.4945696378,0.0388571429,0.3379761905,0.0093095238,0.0336904762,0.3428571429,0.0095,0.0534720727,0.0564524949,0.0109576905,0.053212128,0.0570822605,0.0111679118,0.0008402828,0.132871006,0.5162207912,42.3637573433,0.1269317666,0.5161229904,42.332272684,0.0458095238,0.3803095238,0.0129285714,0.0397619048,0.3859047619,0.0131904762,0.0607906544,0.0640082823,0.0147294582,0.0604743654,0.0647333069,0.0150129644
'kon',1,0,0.127304,0.52131,0,10,0.9996351462,0.0073622641,0.0009102526,0.130985132,0.52131,37.5068422563,0.123622868,0.52131,37.4931577437,0.039547619,0.3373333333,0.0092619048,0.033,0.3435,0.0095238095,0.0535058857,0.0563660888,0.0109079786,0.0531759551,0.0571646497,0.0111943455,0.0010578928,0.1336434788,0.5162062966,42.3684908502,0.1261702115,0.5160723593,42.3282855041,0.0465952381,0.3795952381,0.0129047619,0.0389761905,0.3866190476,0.0132380952,0.0608344637,0.0639178153,0.0147026829,0.0604329158,0.0648277907,0.0150630179
'kon',1,1,0.127304,0.52131,0,10,0.9996119577,0.0078302682,0.0009705721,0.1312191341,0.52131,37.5072772046,0.1233888659,0.52131,37.4927227954,0.0397619048,0.3371428571,0.0092619048,0.0327857143,0.3436904762,0.009547619,0.0535190602,0.0563431975,0.0109070484,0.0531651404,0.0571915578,0.0112185539,0.0011191813,0.1338836629,0.5161796204,42.3680949528,0.1259083076,0.5160987967,42.3263933785,0.0468333333,0.3793571429,0.0129047619,0.0387142857,0.3868571429,0.0132380952,0.0608455397,0.0638881882,0.0147015055,0.0604175261,0.0648566074,0.0150641836
'kon',1,0,0.127304,0.52131,0,15,0.9991221612,0.0177181663,0.0021823562,0.1361630832,0.52131,37.5164667047,0.1184449168,0.52131,37.4835332953,0.0441428571,0.3330238095,0.0090952381,0.0284047619,0.3478333333,0.0097142857,0.0537416077,0.0558114451,0.0107238611,0.052945799,0.0577270834,0.0114018706,0.0025417243,0.1389124025,0.5162419006,42.3952652134,0.1208917585,0.516034762,42.3002670243,0.051952381,0.3746428571,0.0126904762,0.0335952381,0.3915714286,0.0134761905,0.0611169396,0.0632791967,0.0144688885,0.0601484861,0.0654696157,0.0153200787
'kon',1,1,0.127304,0.52131,0,15,0.9988652991,0.0229055761,0.0028266573,0.138756788,0.52131,37.5212877188,0.115851212,0.52131,37.4787122812,0.046452381,0.3308571429,0.009,0.0261190476,0.3500238095,0.0098095238,0.0538588425,0.0555306334,0.0106201044,0.0528360838,0.0580124786,0.0115057683,0.003302786,0.1415593038,0.5162934688,42.4114410458,0.1182344633,0.5159843832,42.2853739645,0.0546666667,0.3721666667,0.012547619,0.0309047619,0.3940714286,0.0135952381,0.0612611083,0.0629550778,0.0143170916,0.0600094772,0.0657943013,0.0154487386
'kon',1,0,0.127304,0.52131,0,20,0.9982626868,0.0350807573,0.0043265233,0.1448443787,0.52131,37.5326029429,0.1097636213,0.52131,37.4673970571,0.0518571429,0.3257857143,0.0087857143,0.0207142857,0.3551190476,0.0100238095,0.0541339156,0.0548747701,0.0103856863,0.0525642168,0.058672115,0.0117403158,0.0050403205,0.1477441228,0.5163649127,42.4454285301,0.1120421972,0.5159105248,42.252559058,0.0609761905,0.3663571429,0.0122857143,0.0246190476,0.3998809524,0.0138571429,0.061595993,0.0622050096,0.014032549,0.0596789061,0.06654518,0.0157332928
'kon',1,1,0.127304,0.52131,0,20,0.9977832316,0.0447729238,0.0055278864,0.1496904619,0.52131,37.5416105283,0.1049175381,0.52131,37.4583894717,0.0561666667,0.3217619048,0.0085952381,0.0164047619,0.3591904762,0.0101904762,0.0543539864,0.054351662,0.0101797035,0.0523481982,0.0591987525,0.0119232793,0.0064314699,0.1526685553,0.5164357638,42.4715347554,0.1070876431,0.5158364759,42.2250421869,0.066,0.3617380952,0.0120714286,0.0195714286,0.4045238095,0.0140714286,0.0618629625,0.061607869,0.013800403,0.0594108291,0.0671452833,0.0159655566
'kon',1,0,0.127304,0.52131,0,25,0.9962115595,0.06,0.0073757279,0.157304,0.52131,37.571168068,0.097304,0.52131,37.428831932,0.0629761905,0.3155714286,0.0083333333,0.0096666667,0.365452381,0.010452381,0.054728161,0.0535582424,0.0098933355,0.0519965826,0.0600059227,0.0122100705,0.00860236,0.1603877431,0.5165572569,42.5305464657,0.0993284623,0.5157056564,42.1654578548,0.073952381,0.3546666667,0.0117142857,0.0116904762,0.4116190476,0.0144285714,0.0623161294,0.0606976762,0.0134166944,0.0589738091,0.0680616804,0.0163494296
'kon',1,1,0.127304,0.52131,0,25,0.9962115595,0.06,0.0073757279,0.157304,0.52131,37.571168068,0.097304,0.52131,37.428831932,0.0629761905,0.3155714286,0.0083333333,0.0096666667,0.365452381,0.010452381,0.054728161,0.0535582424,0.0098933355,0.0519965826,0.0600059227,0.0122100705,0.00860236,0.1603877431,0.5165572569,42.5305464657,0.0993284623,0.5157056564,42.1654578548,0.073952381,0.3546666667,0.0117142857,0.0116904762,0.4116190476,0.0144285714,0.0623161294,0.0606976762,0.0134166944,0.0589738091,0.0680616804,0.0163494296
'kon',1,0,0.127304,0.52131,45,2,0.9994032729,0.0020012754,0.0005622343,0.1280115577,0.5220175577,37.5111919725,0.1265964423,0.5206024423,37.4888080275,0.0370238095,0.3398809524,0.0091428571,0.0355238095,0.340952381,0.0096666667,0.0533798867,0.0566638254,0.0108041973,0.0533043139,0.0568709299,0.011321405,0.0006623735,0.1306253627,0.5169193252,42.3636339283,0.1291916615,0.5153615622,42.333393465,0.0436666667,0.3825,0.0127619048,0.0418809524,0.3837142857,0.0133809524,0.0606808635,0.064254355,0.0145773661,0.0605822024,0.0644904406,0.015188323
'kon',1,1,0.127304,0.52131,45,2,0.999432766,0.0019023349,0.0005144826,0.1279765769,0.5219825769,37.5106386554,0.1266314231,0.5206374231,37.4893613446,0.037,0.3399047619,0.0091666667,0.035547619,0.3409285714,0.0096428571,0.0533811389,0.056670805,0.0108275932,0.0533030618,0.0568639504,0.0112980091,0.0006364947,0.1305801867,0.5169218422,42.3614205796,0.1292252152,0.515423918,42.3347662474,0.0436190476,0.3825238095,0.0127619048,0.0419285714,0.3836904762,0.0133571429,0.0606754423,0.0642565073,0.0145774722,0.0605852638,0.0644842715,0.0151649387
'kon',1,0,0.127304,0.52131,45,4,0.9989796105,0.0034228601,0.0009253803,0.1285141638,0.5225201638,37.5191420699,0.1260938362,0.5200998362,37.4808579301,0.0375714286,0.3395,0.0089761905,0.0349761905,0.3413333333,0.0098333333,0.0534112855,0.0565939772,0.010639448,0.0532729152,0.0569407781,0.0114861543,0.0011671571,0.1311250649,0.5174592682,42.3733895955,0.1286740063,0.5148247482,42.3213737684,0.0442857143,0.3820714286,0.0125238095,0.0412380952,0.3841428571,0.0136190476,0.0607117118,0.0641673414,0.0143425586,0.0605470404,0.0645766438,0.0154231188
'kon',1,1,0.127304,0.52131,45,4,0.9989306643,0.0035871361,0.0009764801,0.1285722441,0.5225782441,37.52006077,0.1260357559,0.5200417559,37.47993923,0.0376428571,0.339452381,0.008952381,0.0349047619,0.3413809524,0.0098571429,0.0534154545,0.0565848454,0.010615946,0.0532687461,0.05694991,0.0115096562,0.0012408962,0.131171638,0.5175846383,42.3738824812,0.1286165387,0.5147651527,42.3200380433,0.0443571429,0.3820238095,0.0124761905,0.0411666667,0.3841904762,0.0136428571,0.0607135211,0.0641541928,0.0142957785,0.0605428714,0.0645857757,0.0154466208
