'Participant','Base Color','Trial','U','V','Direction','Frequency','Ratio','ThresholdUV','ThresholdLMS','U1','V1','L1','U2','V2','L2','R1','G1','B1','R2','G2','B2','L1','M1','S1','L2','M2','S2','ThresholdLMS_Corrected','U1_Corrected','V1_Corrected','L1_Corrected','U2_Corrected','V2_Corrected','L2_Corrected','R1_Corrected','G1_Corrected','B1_Corrected','R2_Corrected','G2_Corrected','B2_Corrected','L1_Corrected','M1_Corrected','S1_Corrected','L2_Corrected','M2_Corrected','S2_Corrected'
'mij',1,0,0.127304,0.52131,0,2,1.00012276,0.000329081,4.11E-05,0.12746854,0.52131,37.4976984,0.12713946,0.52131,37.5023016,0.036428571,0.340261905,0.009404762,0.036119048,0.340571429,0.009404762,0.0533493,0.05674812,0.011062036,0.053334901,0.056786635,0.011063566,4.69E-05,0.130066826,0.516119353,42.34598234,0.129727385,0.516159535,42.34879972,0.042928571,0.382928571,0.013071429,0.042595238,0.383285714,0.013071429,0.060635526,0.064349367,0.01488195,0.060623226,0.064394618,0.014883728
'mij',1,1,0.127304,0.52131,0,2,1.000353886,0.000948551,0.000138401,0.127778276,0.52131,37.49336581,0.126829724,0.52131,37.50663419,0.036690476,0.339952381,0.009380952,0.035857143,0.340880952,0.009428571,0.053352712,0.056703967,0.011037204,0.053331489,0.056830788,0.011088399,0.000156137,0.130394834,0.51614413,42.3423211,0.12942067,0.516134947,42.35470648,0.043261905,0.382571429,0.013047619,0.042285714,0.383642857,0.013095238,0.060645467,0.064300099,0.014856894,0.060617599,0.064444696,0.014908795
'mij',1,0,0.127304,0.52131,0,4,1.000364482,0.000976929,0.000141469,0.127792465,0.52131,37.4931672,0.126815535,0.52131,37.5068328,0.036690476,0.339952381,0.009380952,0.035857143,0.340904762,0.009428571,0.053352712,0.056703967,0.011037204,0.053334695,0.056834561,0.011088528,0.000156214,0.130394834,0.51614413,42.3423211,0.129399524,0.51613475,42.35245523,0.043261905,0.382571429,0.013047619,0.042261905,0.383642857,0.013095238,0.060645467,0.064300099,0.014856894,0.060613285,0.064443886,0.014908783
'mij',1,1,0.127304,0.52131,0,4,1.00059573,0.001596593,0.000229782,0.128102297,0.52131,37.48883339,0.126505703,0.52131,37.51116661,0.03697619,0.339642857,0.009357143,0.035571429,0.341214286,0.009428571,0.053360437,0.056660625,0.011012383,0.05332461,0.056873887,0.01109007,0.000267956,0.130722938,0.516168911,42.338657,0.12909292,0.516110166,42.35835909,0.043595238,0.382214286,0.01302381,0.041952381,0.384,0.013119048,0.060655408,0.064250831,0.014831838,0.060607658,0.064493964,0.014933851
'mij',1,0,0.127304,0.52131,0,8,1.000481959,0.001291741,0.000180159,0.127949871,0.52131,37.49096545,0.126658129,0.52131,37.50903455,0.036833333,0.339785714,0.009380952,0.035714286,0.341047619,0.009428571,0.053356151,0.056682418,0.011036368,0.053328049,0.056852338,0.011089234,0.000214943,0.13055464,0.516187581,42.33892417,0.129249543,0.516156461,42.35725694,0.043428571,0.382380952,0.01302381,0.042119048,0.383833333,0.013095238,0.060647654,0.06427157,0.014832662,0.060613052,0.064469209,0.014909749
'mij',1,1,0.127304,0.52131,0,8,1.000514394,0.001378653,0.000192208,0.127993326,0.52131,37.4903576,0.126614674,0.52131,37.5096424,0.036880952,0.339738095,0.009380952,0.035666667,0.341095238,0.009428571,0.053358366,0.056676492,0.011036132,0.053325834,0.056858263,0.01108947,0.00022677,0.130602726,0.516182247,42.3388479,0.129201474,0.51616179,42.35733162,0.04347619,0.382333333,0.01302381,0.042071429,0.383880952,0.013095238,0.06064987,0.064265645,0.014832427,0.060610836,0.064475134,0.014909984
'mij',1,0,0.127304,0.52131,0,10,1.000784138,0.002101339,0.000303491,0.12835467,0.52131,37.48530318,0.12625333,0.52131,37.51469682,0.037190476,0.339380952,0.009357143,0.035357143,0.341452381,0.009452381,0.053363993,0.056626414,0.011011065,0.053320207,0.056908341,0.011114537,0.000339186,0.130969283,0.516136511,42.33369478,0.128825696,0.516142331,42.36105656,0.043833333,0.381928571,0.01302381,0.041690476,0.384285714,0.013119048,0.060660072,0.064213658,0.014830402,0.060598681,0.064530327,0.014935276
'mij',1,1,0.127304,0.52131,0,10,1.000811299,0.002174097,0.000312505,0.128391048,0.52131,37.48479431,0.126216952,0.52131,37.51520569,0.037214286,0.339357143,0.009357143,0.035333333,0.3415,0.009452381,0.053365101,0.056623451,0.011010947,0.053322306,0.056915077,0.011114784,0.000345259,0.131014399,0.516134041,42.3359078,0.128801663,0.516144995,42.36109367,0.043880952,0.381904762,0.01302381,0.041666667,0.384309524,0.013119048,0.060665493,0.064211506,0.014830296,0.060597573,0.06453329,0.014935393
'mij',1,0,0.127304,0.52131,0,15,1.002387716,0.006393393,0.000908319,0.130500697,0.52131,37.45528371,0.124107303,0.52131,37.54471629,0.039047619,0.337285714,0.009261905,0.03347619,0.343571429,0.00952381,0.053408887,0.056341524,0.010907475,0.053271846,0.057192177,0.011194967,0.001051336,0.133149942,0.516193063,42.30757811,0.126651838,0.516085537,42.38691848,0.04602381,0.37952381,0.012904762,0.03952381,0.386690476,0.013238095,0.060721318,0.063887046,0.014702015,0.060541747,0.064857749,0.015063674
'mij',1,1,0.127304,0.52131,0,15,1.003402132,0.009105128,0.001297196,0.131856564,0.52131,37.43631835,0.122751436,0.52131,37.56368165,0.040238095,0.335952381,0.009214286,0.032285714,0.344904762,0.009595238,0.053440312,0.056162716,0.010854255,0.053242781,0.057375002,0.011271465,0.001498944,0.134528048,0.516218887,42.29127507,0.125278728,0.516062285,42.40521565,0.047404762,0.378,0.012833333,0.038142857,0.388214286,0.013309524,0.060759244,0.06368052,0.014624575,0.060503822,0.065064276,0.015141114
